Movie_Name, Cast_Name, Total_Centrality, Average_Centrality
Ek Bechara,shekhar,126.5,2.108333333
Ek Bechara,shekar,33.83333333,1.691666667
Ek Bechara,man,94,4.086956522
Ek Bechara,rajan,2246.083333,11.23041667
Ek Bechara,brother,515.4928571,22.41273292
Sharmeelee,ajit,688.497619,5.378887649
Sharmeelee,kapoor,70,3.181818182
Sharmeelee,captain,0,0
Ek Hasina Do Diwane,amar,106,1.927272727
Ek Hasina Do Diwane,prakash,326,5.433333333
Shri Krishna Leela,raja,0,0
Shri Krishna Leela,krishna,241.8333333,8.636904762
Tere Mere Sapne,anand,453.5,2.870253165
Tere Mere Sapne,dr.,0,0
Tere Mere Sapne,father,64,4
Tere Mere Sapne,kothari,95,2.021276596
Tere Mere Sapne,phoolchand,33,1.32
Tere Mere Sapne,dr,16,0.727272727
Tere Mere Sapne,kumar,39,1.857142857
Gaon Hamara Shaher Tumhara,pandey,229.8333333,8.83974359
Gaon Hamara Shaher Tumhara,chandershekhar,0,0
Gaon Hamara Shaher Tumhara,brij,751.5238095,4.639035861
Garam Masala,the,3436.380952,9.707290826
Garam Masala,captain,7979.045238,29.99641067
Garam Masala,man,3064.861905,44.41828847
Gomti Ke Kinare,nekiram,0,0
Grahan,bhaskar,40,1.904761905
Grahan,jaggan,24.83333333,0.28219697
Grahan,brother,25.5,1.59375
Jawani Diwani,thakur,121,3.102564103
Jawani Diwani,ravi,62,2.695652174
Jawani Diwani,vijay,0,0
Joroo Ka Ghulam,artist,154,4.8125
Joroo Ka Ghulam,father,318.3333333,3.882113821
Joroo Ka Ghulam,man,200.5,8.354166667
Joroo Ka Ghulam,brother,184,12.26666667
Joroo Ka Ghulam,rajesh,285.5,1.456632653
Koshish,kanu,6,2
Lalkaar,army,370.5,5.975806452
Lalkaar,rajan,117.3333333,1.002849003
Lalkaar,colonel,0,0
Lalkaar,ram,299.8333333,3.52745098
Maya Darpan,taran,661.4333333,10.4989418
Maya Darpan,brother,360.7333333,12.02444444
Mere Jeevan Saathi,vinod,3088.9,14.63933649
Mere Jeevan Saathi,prakash,2356.5,7.295665635
Mere Jeevan Saathi,father,368.3333333,4.547325103
