Movie_Name, Cast_Name, Total_Centrality, Average_Centrality
Ek Main Aur Ekk Tu,mother,35,1.458333333
Jai Santoshi Maa,ma,723.3333333,8.930041152
Jai Santoshi Maa,satyavati,1562.166667,8.094127807
Jai Santoshi Maa,santoshi,0,0
Ekk Deewana Tha,jessie,1743,4.189903846
Ekk Deewana Tha,sachin,3580.666667,7.367626886
Ekk Deewana Tha,samantha,118.5,2.821428571
Julie,mother,300.3333333,2.806853583
Julie,julie,580.3333333,3.316190476
Julie,girl,144.9166667,7.245833333
Married 2 America,malhotra,45,4.5
Married 2 America,anjali,0,0
Jodi Breakers,sonali,344.5,2.944444444
Jodi Breakers,madonna,22,1.294117647
Jodi Breakers,mrs.,0,0
Jodi Breakers,maggie,226.1666667,1.753229974
Jodi Breakers,ira,206,3.26984127
Jodi Breakers,mrs,12,0.134831461
Tere Naal Love Ho Gaya,woman,98.5,6.15625
Tere Naal Love Ho Gaya,mini,545,2.12890625
Kala Sona,durga,656.3333333,10.93888889
Paan Singh Tomar,mother,15.5,1.192307692
Khel Khel Mein,cobra,773,4.342696629
Khel Khel Mein,sherie,417.5,3.287401575
Khushboo,mother,143.6333333,2.816339869
Khushboo,lakhi,198.5,8.630434783
Khushboo,kusum,483.5,3.021875
Kahaani,vidya,384,1.040650407
Kahaani,bagchi,444.8333333,9.464539007
Mausam,kajli,0,0
Mausam,mother,175,5.64516129
Mausam,woman,108,9
Mausam,chanda,580.3333333,8.410628019
Say Yes to Love,girl,131.6666667,10.12820513
Zindagi Tere Naam,woman,142,8.352941176
Zindagi Tere Naam,anjali,33,0.634615385
Zindagi Tere Naam,girl,49,3.769230769
Zindagi Tere Naam,daughter,6,2
Agent Vinod,,0,0
Agent Vinod,vinod,1231,2.553941909
Agent Vinod,iram,434,1.972727273
Agent Vinod,girl,137,6.227272727
Agent Vinod,ruby,142,1.797468354
Mere Sajna,mother,74,4.625
Blood Money,aarzoo,126.5,1.265
Bumboo,pinky,310.8333333,2.568870523
Mili,mili,64.66666667,0.808333333
Mili,girl,300,8.571428571
Housefull 2,parul,13,0.52
Housefull 2,chintu,334.1666667,2.037601626
Housefull 2,patel,7,1.4
Housefull 2,heena,777,5.433566434
Housefull 2,bobby,373,2.554794521
Housefull 2,dabboo,96.5,1.048913043
Housefull 2,batuk,0,0
Housefull 2,sister,0,0
Nishant,sushila,0,0
Ponga Pandit,daughter,0,0
Vicky Donor,mother,197.5,4.20212766
Vicky Donor,dolly,187,5.194444444
Vicky Donor,ashima,271.6666667,1.223723724
Hate Story,kavya,1323,2.573929961
Tezz,meghna,311,11.10714286
Tezz,megha,19,1.583333333
Tezz,nikita,282,3.357142857
Jannat 2,jhanvi,288.8833333,3.439087302
Raftaar,woman,138,8.117647059
Raftaar,rani,862,8.132075472
Fatso!,nandini,302,9.4375
Dangerous Ishq,neetu,154,11
Dangerous Ishq,sanjana,956,2.941538462
